Model,Adj_R2,RMSE_test
Baseline,0.8259881696617323,75741.76260856178
Log(area),0.8246314905188019,76004.57513143988
Quad(lease),0.8264930601383691,75642.04505455853
Quad(year),0.8407245352787824,72459.99806069607
